Escuela_ID;Número;Escuela;Nivel;Nivel_Unificado;Gestión;Supervisión;Departamento;Localidad;zona;AMBITO;Regional
1091;4103;PROFESOR CÉSAR HUMBERTO CASIVA;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;EL CHALLAO;40%;Urbano marginal;-
1092;4104;ING. CARLOS FADER;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;LUJÁN DE CUYO;LUJÁN;10%;Urbano;-
1093;4105;ENORE DE MONTE;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;GRAL. ALVEAR;BOWEN;80%;Urbano;-
1094;4106;IV BRIGADA AÉREA;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAS HERAS;EL PLUMERILLO;40%;Urbano;-
1095;4107;EJÉRCITO ARGENTINO;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;TUNUYÁN;TUNUYÁN;80%;Urbano;-
1096;4108;ING. GUILLERMO VILLANUEVA;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;MAIPÚ;MAIPÚ;10%;Urbano;-
1097;4109;ING. ÁLVAREZ CONDARCO;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;GODOY CRUZ;SAN FRANCISCO DEL MONTE;10%;Urbano;-
1098;4110;PRESIDENTE NICOLÁS AVELLANEDA;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;JUNIN;LOS BARRIALES;80%;Urbano;-
1099;4111;ING. PABLO NOGUÉS;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;CAPITAL;2º SECCION - RESIDENCIAL BARRIO CIVICO;10%;Urbano;-
1100;4112;PROFESOR ANTONIO DOUGLAS GURGUI;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAS HERAS;LAS HERAS;40%;Urbano;-
1101;4113;ING. JORGE BARRAQUERO;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;GRAL. ALVEAR;GENERAL ALVEAR;60%;Urbano marginal;-
1102;4114;MANUEL BELGRANO;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;CAÑADA SECA;80%;Rural;-
1103;4115;INFANTA MENDOCINA;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;DORREGO;10%;Urbano;-
1104;4116;JUAN PABLO II;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;MONTE COMAN;110%;Urbano;-
1105;4117;EJÉRCITO DE LOS ANDES;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;SAN RAFAEL - CIUDAD;10%;Urbano;-
1106;4118;SAN JOSE;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;GUAYMALLÉN;SAN JOSÉ;10%;Urbano;-
1107;4119;SANTA MARÍA DE ORO (8119);Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;RIVADAVIA;SANTA MARÍA DE ORO;80%;Rural;-
1108;4120;TECNICA JOSÉ DE SAN MARTÍN;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;SAN MARTÍN;SAN MARTÍN;40%;Urbano;-
1109;4121;TÉCNICOS  MENDOCINOS;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;GUAYMALLÉN;VILLA NUEVA;40%;Urbano;-
1110;4122;REPÚBLICA ITALIANA;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;TUPUNGATO;TUPUNGATO;60%;Urbano;-
