Escuela_ID;Curso ;matricula_por_escuela_y_curso
989;1°;178
990;1°;113
991;1°;164
992;1°;132
993;1°;178
994;1°;166
995;1°;134
996;1°;78
997;1°;180
998;1°;105
999;1°;169
1000;1°;139
1001;1°;95
1002;1°;50
1003;1°;57
1004;1°;181
1005;1°;94
1006;1°;169
1007;1°;143
1008;1°;121
1009;1°;50
1010;1°;118
1011;1°;107
1012;1°;99
1013;1°;122
1014;1°;147
1015;1°;89
1016;1°;192
1017;1°;91
1018;1°;110
1019;1°;81
1020;1°;149
1021;1°;169
1022;1°;75
1023;1°;233
1024;1°;83
1025;1°;61
1026;1°;122
1027;1°;89
1028;1°;123
1029;1°;127
1030;1°;92
1031;1°;58
1032;1°;20
1033;1°;146
1034;1°;99
1035;1°;124
1036;1°;62
1037;1°;94
1038;1°;92
1039;1°;66
1040;1°;52
1041;1°;97
1042;1°;210
1043;1°;97
1044;1°;95
1045;1°;134
1046;1°;65
1047;1°;77
1048;1°;168
1049;1°;117
1050;1°;141
1051;1°;76
1052;1°;153
1053;1°;136
1054;1°;130
1055;1°;72
1056;1°;100
1057;1°;148
1058;1°;20
1059;1°;157
1060;1°;50
1061;1°;68
1062;1°;110
1063;1°;147
1064;1°;182
1065;1°;187
1066;1°;125
1067;1°;199
1069;1°;133
1070;1°;107
1071;1°;208
1072;1°;213
1073;1°;192
1074;1°;66
1075;1°;142
1076;1°;193
1077;1°;185
1078;1°;94
1079;1°;156
1080;1°;167
1081;1°;121
1082;1°;148
1083;1°;61
1084;1°;111
1085;1°;282
1086;1°;120
1087;1°;63
1088;1°;25
1089;1°;86
1090;1°;60
1091;1°;45
1092;1°;208
1093;1°;109
1094;1°;49
1095;1°;189
1096;1°;207
1097;1°;168
1098;1°;132
1099;1°;286
1100;1°;180
1101;1°;135
1102;1°;164
1103;1°;111
1104;1°;49
1105;1°;187
1106;1°;269
1107;1°;137
1108;1°;172
1109;1°;209
1110;1°;107
1111;1°;99
1112;1°;117
1115;1°;127
1116;1°;140
1117;1°;77
1118;1°;90
1119;1°;111
1120;1°;115
1121;1°;152
1122;1°;77
1123;1°;114
1124;1°;68
1125;1°;80
1126;1°;143
1127;1°;61
1128;1°;100
1129;1°;43
1131;1°;168
1132;1°;132
1133;1°;157
1134;1°;59
1135;1°;65
1136;1°;204
1137;1°;71
1138;1°;84
1139;1°;169
1140;1°;170
1141;1°;81
1142;1°;85
1143;1°;181
1144;1°;166
1145;1°;50
1146;1°;98
1147;1°;64
1148;1°;68
1149;1°;69
1150;1°;111
1151;1°;60
1152;1°;138
1153;1°;93
1154;1°;175
1155;1°;63
1156;1°;89
1157;1°;32
1158;1°;80
1159;1°;42
1160;1°;125
1161;1°;212
1162;1°;107
1163;1°;68
1164;1°;35
1165;1°;12
1166;1°;52
1167;1°;47
1168;1°;35
1169;1°;68
1170;1°;37
1171;1°;58
1172;1°;95
1173;1°;90
1174;1°;52
1175;1°;98
1176;1°;87
1177;1°;120
1178;1°;84
1179;1°;30
1180;1°;124
