Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;CUE;subcue;Número;Anexo;Número_Anexo;Escuela;Departamento;Localidad;zona;AMBITO;Regional
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1191;5002060;0;4203;0;4203-0;COLONIA LAS ROSAS;TUNUYÁN;COLONIA LAS ROSAS;80%;Rural;-
Secundario Orientado;Secundario;Pública;10 - Secundario Orientado;1446;5001364;0;9006;0;9006-0;PROF. FRANCISCO H. TOLOSA;RIVADAVIA;RIVADAVIA;40%;Urbano;-
Primario;Primario;Pública;28 - Primario;1452;5000311;0;9034;0;9034-0;SEVERO MORENO;LA PAZ;VILLA NUEVA DE LA PAZ;80%;Rural;ESTE
Primario;Primario;Privada;06 - Primario Privada;1835;5001185;0;P030;0;P030-0;SAN ANTONIO;GRAL. ALVEAR;GENERAL ALVEAR;10%;Urbano;NO CORRESPONDE
Primario;Primario;Privada;04 - Primario Privada;1836;5000278;0;P031;0;P031-0;MARÍA AUXILIADORA;LUJÁN DE CUYO;PERDRIEL;40%;Rural;NO CORRESPONDE
Primario;Primario;Privada;05 - Primario Privada;1843;5000081;0;P038;0;P038-0;LEONARDO MURIALDO;GUAYMALLÉN;VILLA NUEVA;-;Urbano;NO CORRESPONDE
Primario;Primario;Privada;01 - Primario Privada;1844;5000804;0;P039;0;P039-0;INSTITUTO NADINO;CAPITAL;6º SECCION - RESIDENCIAL NORTE;Sin Zona;Urbano;NO CORRESPONDE
Primario;Primario;Privada;07 - Primario Privada;1845;5000576;0;P040;0;P040-0;SAGRADA FAMILIA;MAIPÚ;RODEO DEL MEDIO;50%;Rural;NO CORRESPONDE
Primario;Primario;Privada;02 - Primario Privada;1854;5000946;0;P051;0;P051-0;NUESTRA SEÑORA DEL SANTÍSIMO ROSARIO;JUNIN;ING GIAGNONI;50%;Rural;NO CORRESPONDE
Primario;Primario;Privada;04 - Primario Privada;1872;5001021;0;P074;0;P074-0;COMPAÑÍA DE MARÍA;TUPUNGATO;TUPUNGATO;50%;Urbano;NO CORRESPONDE
Primario;Primario;Privada;03 - Primario Privada;1877;5000591;0;P082;0;P082-0;PADRE JOSÉ MULLNER;GODOY CRUZ;VILLA HIPODROMO;30%;Urbano marginal;NO CORRESPONDE
Primario;Primario;Privada;06 - Primario Privada;1881;5001322;0;P092;0;P092-0;ISABEL LA CATOLICA;SAN RAFAEL;LAS PAREDES;40%;Rural;NO CORRESPONDE
Primario;Primario;Privada;02 - Primario Privada;1883;5000996;0;P095;0;P095-0;MEDALLA MILAGROSA;JUNIN;JUNIN;30%;Urbano;NO CORRESPONDE
Primario;Primario;Privada;03 - Primario Privada;1884;5001171;0;P097;0;P097-0;I.S.E.P.;GODOY CRUZ;GODOY CRUZ;Sin Zona;Urbano;NO CORRESPONDE
Primario;Primario;Privada;05 - Primario Privada;1886;5000200;0;P099;0;P099-0;CENTRO EDUCATIVO DIOS PADRE;GUAYMALLÉN;LOS CORRALITOS;10%;Rural;NO CORRESPONDE
Primario;Primario;Privada;01 - Primario Privada;1908;5000006;0;P130;0;P130-0;INMACULADO CORAZÓN DE MARÍA;CAPITAL;5º SECCION -  RESIDENCIAL SUR;50%;Marginal;NO CORRESPONDE
Primario;Primario;Privada;02 - Primario Privada;1914;5001418;0;P141;0;P141-0;SANTA MARÍA DE BELÉN;LAS HERAS;EL PLUMERILLO;50%;Urbano marginal;NO CORRESPONDE
Primario;Primario;Privada;06 - Primario Privada;1921;5001840;0;P176;0;P176-0;SANTO TOMÁS MORO;GRAL. ALVEAR;GENERAL ALVEAR;10%;Urbano marginal;NO CORRESPONDE
Primario;Primario;Privada;06 - Primario Privada;1922;5001924;0;P178;0;P178-0;SANTA TERESITA DEL NIÑO JESÚS;SAN RAFAEL;TOLEDANO;10%;Rural;NO CORRESPONDE
Secundario Orientado;Secundario;Privada;04 - Secundario Orientado Privada;1969;5001356;0;S026;0;S026-0;SAN VICENTE DE PAUL;SAN MARTÍN;SAN MARTÍN;10%;Urbano;-
Secundario Orientado;Secundario;Privada;07 - Secundario Orientado Privada;1978;5001953;0;S037;0;S037-0;INTEGRAL DEL HUERTO;GODOY CRUZ;GOBERNADOR BENEGAS;Sin Zona;Urbano;-
Secundario Técnico;Secundario;Privada;04 - Secundario Orientado Privada;1981;5001975;0;S040;0;S040-0;SAGRADA FAMILIA;MAIPÚ;RODEO DEL MEDIO;50%;Rural;-
Secundario Orientado;Secundario;Privada;04 - Secundario Orientado Privada;1988;5001353;0;S051;0;S051-0;NUESTRA SEÑORA DEL SANTISIMO ROSARIO;JUNIN;ALGARROBO GRANDE;50%;Rural;-
Secundario Orientado;Secundario;Privada;07 - Secundario Orientado Privada;2009;5001970;0;S082;0;S082-0;PADRE JOSÉ MULLNER;GODOY CRUZ;VILLA DEL PARQUE;20%;Urbano marginal;-
Secundario Orientado;Secundario;Privada;01 - Secundario Orientado Privada;2027;5001979;0;S113;0;S113-0;TOMÁS ALVA EDISON;GUAYMALLÉN;BUENA NUEVA;-;Urbano;-
Secundario Orientado;Secundario;Privada;02 - Secundario Orientado Privada;2035;5001951;0;S130;0;S130-0;INMACULADO CORAZÓN DE MARÍA;CAPITAL;CIUDAD;50%;Urbano marginal;-
Secundario Orientado;Secundario;Privada;06 - Secundario Orientado Privada;2043;5002230;0;S176;0;S176-0;SANTO TOMÁS MORO;GRAL. ALVEAR;GENERAL ALVEAR;Sin Zona;Rural;-
Secundario Orientado;Secundario;Privada;06 - Secundario Orientado Privada;2053;5001248;0;S208;0;S208-0;INSTITUTO SECUNDARIO MALARGÜE;MALARGÜE;MALARGÜE;10%;Urbano;-
Secundario Orientado;Secundario;Privada;06 - Secundario Orientado Privada;2059;5001194;0;S215;0;S215-0;ALFREDO R BUFANO;SAN RAFAEL;LAS PAREDES;-;Rural;-
Secundario Orientado;Secundario;Privada;07 - Secundario Orientado Privada;2062;5000883;0;S219;0;S219-0;BEATO JUAN BAUTISTA SCALABRINI;GUAYMALLÉN;GUAYMALLEN;-;Urbano;-
Primario;Primario;Pública;39 - Primario;2342;5000239;0;1012;0;1012-0;COMANDANTE SATURNINO TORRES;LUJÁN DE CUYO;LUJÁN;40%;Urbano marginal;CENTRO
Primario;Primario;Pública;45 - Primario;2349;5000895;0;1024;0;1024-0;MANUEL VIDELA;GUAYMALLÉN;RODEO DE LA CRUZ;60%;Urbano marginal;NORTE
Primario;Primario;Pública;46 - Primario;2365;5000550;0;1055;0;1055-0;CORRIENTES;SAN MARTÍN;SAN MARTÍN;40%;Urbano;ESTE
Primario;Primario;Privada;02 - Primario Privada;2572;5000863;0;P045;0;P045-0;Fundación Instituto Privado Enseñanza Pedagógica;LAS HERAS;EL ALGARROBAL;Sin Zona;Rural;NO CORRESPONDE
Secundario Orientado;Secundario;Privada;05 - Secundario Orientado Privada;2671;5001897;0;S065;0;S065-0;ESCUELA CRISTIANA EVANGÉLICA ARGENTINA;TUPUNGATO;TUPUNGATO;50%;Urbano;-
