Supervisión;Curso ;matricula_por_supervisión_y_curso
01 - Primario Privada;3°;103
01 - Primario Privada;6°;112
01 - Secundario Orientado;1°;275
01 - Secundario Orientado Privada;1°;156
01 - Secundario Técnico;1°;164
02 - Primario;3°;62
02 - Primario;6°;63
02 - Primario Privada;3°;153
02 - Primario Privada;6°;129
02 - Secundario Orientado Privada;1°;61
02 - Secundario Técnico;1°;279
03 - Primario;3°;13
03 - Primario;6°;18
03 - Primario Privada;3°;136
03 - Primario Privada;6°;174
03 - Secundario Orientado;1°;130
04 - Primario Privada;3°;110
04 - Primario Privada;6°;128
04 - Secundario Orientado;1°;50
04 - Secundario Orientado Privada;1°;204
05 - Primario Privada;3°;169
05 - Primario Privada;6°;184
05 - Secundario Orientado;1°;117
05 - Secundario Orientado Privada;1°;68
06 - Primario Privada;3°;193
06 - Primario Privada;6°;188
06 - Secundario Orientado Privada;1°;141
06 - Secundario Técnico;1°;147
07 - Primario;3°;119
07 - Primario;6°;123
07 - Primario Privada;3°;97
07 - Primario Privada;6°;95
07 - Secundario Orientado;1°;100
07 - Secundario Orientado Privada;1°;121
09 - Secundario Orientado;1°;64
10 - Primario;3°;59
10 - Primario;6°;75
10 - Secundario Orientado;1°;334
11 - Secundario Orientado;1°;201
12 - Primario;3°;33
12 - Primario;6°;56
13 - Primario;3°;88
13 - Primario;6°;108
13 - Secundario Orientado;1°;80
14 - Primario;3°;26
14 - Primario;6°;22
14 - Secundario Orientado;1°;132
16 - Secundario Orientado;1°;60
17 - Primario;3°;121
17 - Primario;6°;130
19 - Primario;3°;44
19 - Primario;6°;44
26 - Primario;3°;70
26 - Primario;6°;85
28 - Primario;3°;40
28 - Primario;6°;45
37 - Primario;3°;147
37 - Primario;6°;162
39 - Primario;3°;87
39 - Primario;6°;88
41 - Primario;3°;13
41 - Primario;4°;6
41 - Primario;5°;16
41 - Primario;6°;23
44 - Primario;3°;38
44 - Primario;6°;39
45 - Primario;3°;120
45 - Primario;6°;121
46 - Primario;3°;65
46 - Primario;6°;67
47 - Primario;3°;85
47 - Primario;6°;98
48 - Primario;3°;40
48 - Primario;6°;48
50 - Primario;3°;118
50 - Primario;6°;117
58 - Primario;3°;51
58 - Primario;6°;59
