Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
12;3°;1;23
12;3°;2;24
12;3°;3;23
12;6°;1;22
12;6°;2;22
12;6°;3;21
12;6°;4;20
58;3°;1;25
58;3°;2;26
58;6°;1;30
58;6°;2;29
136;3°;1;21
136;3°;2;20
136;6°;1;25
136;6°;2;25
147;3°;1;30
147;3°;2;32
147;3°;3;26
147;6°;1;30
147;6°;2;24
147;6°;3;30
147;6°;4;24
162;3°;1;17
162;3°;2;23
162;6°;1;25
162;6°;2;23
210;3°;1;28
210;3°;2;18
210;3°;3;16
210;6°;1;23
210;6°;2;16
210;6°;3;24
218;3°;1;23
218;3°;2;21
218;6°;1;23
218;6°;2;21
242;3°;1;31
242;3°;2;31
242;3°;3;30
242;3°;4;29
242;6°;1;27
242;6°;2;27
242;6°;3;25
242;6°;4;26
242;6°;5;25
286;3°;1;13
286;4°;1;6
286;5°;1;16
286;6°;1;23
288;3°;1;13
288;6°;1;18
324;3°;1;26
324;6°;1;22
347;3°;1;29
347;3°;2;31
347;3°;3;29
347;3°;4;29
347;6°;1;33
347;6°;2;34
347;6°;3;26
347;6°;4;24
363;3°;1;16
363;3°;2;15
363;3°;3;20
363;6°;1;20
363;6°;2;20
363;6°;3;21
363;6°;4;22
402;3°;1;32
402;3°;2;29
402;3°;3;31
402;3°;4;27
402;6°;1;30
402;6°;2;30
402;6°;3;31
402;6°;4;32
409;3°;1;20
409;3°;2;18
409;6°;1;20
409;6°;2;19
413;3°;1;24
413;3°;2;24
413;3°;3;25
413;3°;4;23
413;6°;1;27
413;6°;2;25
413;6°;3;27
420;3°;1;23
420;3°;2;21
420;6°;1;24
420;6°;2;24
458;3°;1;17
458;3°;2;16
458;6°;1;20
458;6°;2;17
458;6°;3;19
529;3°;1;24
529;3°;2;17
529;3°;3;18
529;6°;1;25
529;6°;2;23
529;6°;3;27
991;1°;1;28
991;1°;2;30
991;1°;3;25
991;1°;4;27
991;1°;5;26
991;1°;6;28
1014;1°;1;22
1014;1°;2;21
1014;1°;3;28
1014;1°;4;22
1014;1°;5;26
1014;1°;6;28
1026;1°;1;30
1026;1°;2;28
1026;1°;3;34
1026;1°;4;30
1049;1°;1;29
1049;1°;2;30
1049;1°;3;28
1049;1°;4;30
1054;1°;1;30
1054;1°;2;32
1054;1°;3;34
1054;1°;4;34
1060;1°;1;27
1060;1°;2;23
1067;1°;1;34
1067;1°;2;35
1067;1°;3;31
1067;1°;4;35
1067;1°;5;33
1067;1°;6;33
1080;1°;1;30
1080;1°;2;25
1080;1°;3;30
1080;1°;4;30
1080;1°;5;24
1080;1°;6;28
1084;1°;1;27
1084;1°;2;27
1084;1°;3;28
1084;1°;4;28
1090;1°;1;29
1090;1°;2;31
1128;1°;1;31
1128;1°;2;34
1128;1°;3;35
1132;1°;1;24
1132;1°;2;28
1132;1°;3;28
1132;1°;4;26
1132;1°;5;26
1155;1°;1;22
1155;1°;2;23
1155;1°;3;19
1158;1°;1;20
1158;1°;2;20
1158;1°;3;20
1158;1°;4;20
1162;1°;1;36
1162;1°;2;39
1162;1°;3;33
1181;1°;1;31
1181;1°;2;29
1191;1°;1;31
1191;1°;2;34
1191;1°;3;32
1446;1°;1;31
1446;1°;2;31
1446;1°;3;32
1446;1°;4;38
1446;1°;5;32
1446;1°;6;28
1446;1°;7;32
1452;3°;1;20
1452;3°;2;20
1452;6°;1;23
1452;6°;2;22
1835;3°;1;20
1835;3°;2;20
1835;6°;1;22
1835;6°;2;15
1836;3°;1;33
1836;3°;2;26
1836;6°;1;35
1836;6°;2;34
1843;3°;1;27
1843;3°;2;29
1843;3°;3;27
1843;3°;4;27
1843;6°;1;31
1843;6°;2;32
1843;6°;3;33
1843;6°;4;30
1844;3°;1;30
1844;3°;2;24
1844;6°;1;29
1844;6°;2;28
1845;3°;1;26
1845;3°;2;24
1845;3°;3;24
1845;3°;4;23
1845;6°;1;23
1845;6°;2;25
1845;6°;3;22
1845;6°;4;25
1854;3°;1;17
1854;3°;2;14
1854;6°;1;25
1872;3°;1;29
1872;3°;2;22
1872;6°;1;32
1872;6°;2;27
1877;3°;1;19
1877;6°;1;28
1881;3°;1;23
1881;3°;2;22
1881;3°;3;21
1881;6°;1;17
1881;6°;2;17
1881;6°;3;27
1883;3°;1;20
1883;3°;2;23
1883;6°;1;22
1884;3°;1;31
1884;3°;2;31
1884;3°;3;26
1884;3°;4;29
1884;6°;1;32
1884;6°;2;32
1884;6°;3;27
1884;6°;4;24
1884;6°;5;31
1886;3°;1;32
1886;3°;2;27
1886;6°;1;32
1886;6°;2;26
1908;3°;1;24
1908;3°;2;25
1908;6°;1;28
1908;6°;2;27
1914;3°;1;25
1914;6°;1;28
1921;3°;1;20
1921;3°;2;19
1921;6°;1;27
1921;6°;2;17
1922;3°;1;27
1922;3°;2;21
1922;6°;1;25
1922;6°;2;21
1969;1°;1;31
1969;1°;2;33
1978;1°;1;13
1978;1°;2;15
1981;1°;1;35
1981;1°;2;36
1981;1°;3;32
1988;1°;1;19
1988;1°;2;18
2009;1°;1;30
2027;1°;1;30
2027;1°;2;28
2027;1°;3;24
2027;1°;4;23
2027;1°;5;25
2027;1°;6;26
2035;1°;1;29
2035;1°;2;32
2043;1°;1;30
2053;1°;1;20
2053;1°;2;20
2053;1°;3;16
2053;1°;4;18
2059;1°;1;18
2059;1°;2;19
2062;1°;1;32
2062;1°;2;31
2342;3°;1;24
2342;3°;2;21
2342;3°;3;25
2342;3°;4;17
2342;6°;1;21
2342;6°;2;22
2342;6°;3;25
2342;6°;4;20
2349;3°;1;23
2349;3°;2;25
2349;3°;3;25
2349;3°;4;24
2349;3°;5;23
2349;6°;1;28
2349;6°;2;28
