Escuela_ID;Curso 
12;['3°', '6°']
58;['3°', '6°']
136;['3°', '6°']
147;['3°', '6°']
162;['3°', '6°']
210;['3°', '6°']
218;['3°', '6°']
242;['3°', '6°']
286;['3°', '4°', '5°', '6°']
288;['3°', '6°']
324;['3°', '6°']
347;['3°', '6°']
363;['3°', '6°']
402;['3°', '6°']
409;['3°', '6°']
413;['3°', '6°']
420;['3°', '6°']
458;['3°', '6°']
529;['3°', '6°']
991;['1°']
1014;['1°']
1026;['1°']
1049;['1°']
1054;['1°']
1060;['1°']
1067;['1°']
1080;['1°']
1084;['1°']
1090;['1°']
1128;['1°']
1132;['1°']
1155;['1°']
1158;['1°']
1162;['1°']
1181;['1°']
1191;['1°']
1446;['1°']
1452;['3°', '6°']
1835;['3°', '6°']
1836;['3°', '6°']
1843;['3°', '6°']
1844;['3°', '6°']
1845;['3°', '6°']
1854;['3°', '6°']
1872;['3°', '6°']
1877;['3°', '6°']
1881;['3°', '6°']
1883;['3°', '6°']
1884;['3°', '6°']
1886;['3°', '6°']
1908;['3°', '6°']
1914;['3°', '6°']
1921;['3°', '6°']
1922;['3°', '6°']
1969;['1°']
1978;['1°']
1981;['1°']
1988;['1°']
2009;['1°']
2027;['1°']
2035;['1°']
2043;['1°']
2053;['1°']
2059;['1°']
2062;['1°']
2342;['3°', '6°']
2349;['3°', '6°']
2365;['3°', '6°']
2572;['3°', '6°']
2671;['1°']
