Escuela_ID;Curso ;matricula_por_escuela_y_curso
12;3°;70
12;6°;85
58;3°;51
58;6°;59
136;3°;41
136;6°;50
147;3°;88
147;6°;108
162;3°;40
162;6°;48
210;3°;62
210;6°;63
218;3°;44
218;6°;44
242;3°;121
242;6°;130
286;3°;13
286;4°;6
286;5°;16
286;6°;23
288;3°;13
288;6°;18
324;3°;26
324;6°;22
347;3°;118
347;6°;117
363;3°;51
363;6°;83
402;3°;119
402;6°;123
409;3°;38
409;6°;39
413;3°;96
413;6°;79
420;3°;44
420;6°;48
458;3°;33
458;6°;56
529;3°;59
529;6°;75
991;1°;164
1014;1°;147
1026;1°;122
1049;1°;117
1054;1°;130
1060;1°;50
1067;1°;201
1080;1°;167
1084;1°;110
1090;1°;60
1128;1°;100
1132;1°;132
1155;1°;64
1158;1°;80
1162;1°;108
1181;1°;60
1191;1°;97
1446;1°;224
1452;3°;40
1452;6°;45
1835;3°;40
1835;6°;37
1836;3°;59
1836;6°;69
1843;3°;110
1843;6°;126
1844;3°;54
1844;6°;57
1845;3°;97
1845;6°;95
1854;3°;31
1854;6°;25
1872;3°;51
1872;6°;59
1877;3°;19
1877;6°;28
1881;3°;66
1881;6°;61
1883;3°;43
1883;6°;22
1884;3°;117
1884;6°;146
1886;3°;59
1886;6°;58
1908;3°;49
1908;6°;55
1914;3°;25
1914;6°;28
1921;3°;39
1921;6°;44
1922;3°;48
1922;6°;46
1969;1°;64
1978;1°;28
1981;1°;103
1988;1°;37
2009;1°;30
2027;1°;156
2035;1°;61
2043;1°;30
2053;1°;74
2059;1°;37
2062;1°;63
2342;3°;87
2342;6°;88
2349;3°;120
2349;6°;121
2365;3°;65
2365;6°;67
2572;3°;54
2572;6°;54
2671;1°;68
