Nivel_Unificado;Curso ;matricula_por_nivel_y_curso
Primario;1°;524
Primario;2°;31092
Primario;3°;31295
Primario;4°;33196
Primario;5°;34855
Primario;6°;32840
Primario;7°;31978
Secundario;1°;33997
Secundario;2°;31721
Secundario;3°;29051
Secundario;4°;25305
Secundario;5°;22512
Secundario;6°;3941
