Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
29;2°;A;25
29;2°;B;27
29;2°;C;23
29;3°;A;28
29;3°;B;27
29;3°;C;24
29;4°;A;29
29;4°;B;28
29;4°;C;25
29;5°;A;24
29;5°;B;29
29;5°;C;29
29;6°;A;26
29;6°;B;29
29;6°;C;27
29;7°;A;32
29;7°;B;29
29;7°;C;31
30;2°;A;22
30;2°;B;23
30;3°;A;21
30;3°;B;22
30;4°;A;26
30;4°;B;26
30;5°;A;29
30;5°;B;30
30;6°;A;26
30;6°;B;25
30;7°;A;28
30;7°;B;27
31;2°;A;25
31;2°;B;27
31;2°;C;21
31;2°;D;21
31;3°;A;31
31;3°;B;30
31;3°;C;26
31;3°;D;24
31;4°;A;24
31;4°;B;24
31;4°;C;27
31;4°;D;29
31;4°;E;23
31;5°;A;31
31;5°;B;30
31;5°;C;28
31;5°;D;29
31;6°;A;31
31;6°;B;28
31;6°;C;27
31;6°;D;24
31;7°;A;28
31;7°;B;29
31;7°;C;18
31;7°;D;20
32;2°;A;12
32;3°;A;16
32;4°;A;25
32;5°;A;23
32;6°;A;28
32;7°;A;16
33;2°;1º;7
33;3°;1º;18
33;4°;1º;17
33;5°;1º;28
33;6°;1º;13
33;7°;1º;23
34;2°;A;21
34;2°;B;22
34;3°;A;24
34;3°;B;22
34;4°;A;21
34;4°;B;21
34;5°;A;21
34;5°;B;19
34;6°;A;26
34;6°;B;26
34;7°;A;24
34;7°;B;23
35;2°;1º;18
35;3°;1º;25
35;4°;1º;18
35;5°;1º;15
35;6°;1º;19
35;7°;1º;21
36;2°;A;20
36;2°;B;13
36;2°;C;12
36;3°;A;16
36;3°;B;13
36;3°;C;17
36;4°;A;22
36;4°;B;16
36;4°;C;17
36;5°;A;25
36;5°;B;13
36;5°;C;12
36;6°;A;21
36;6°;B;22
36;6°;C;19
36;7°;A;18
36;7°;B;19
36;7°;C;18
37;2°;A;23
37;2°;B;23
37;3°;A;26
37;3°;B;26
37;4°;A;28
37;4°;B;29
37;5°;A;33
37;5°;B;30
37;6°;A;29
37;6°;B;31
37;7°;A;32
37;7°;B;28
38;2°;1º;21
38;3°;1º;23
38;4°;1º;27
38;5°;1º;26
38;6°;1º;25
38;7°;1º;23
39;2°;A;24
39;2°;B;24
39;3°;A;26
39;3°;B;22
39;4°;A;16
39;4°;B;17
39;4°;C;16
39;4°;D;13
39;5°;A;16
39;5°;B;16
39;5°;C;25
39;6°;A;23
39;6°;B;18
39;6°;C;18
39;7°;A;19
39;7°;B;21
39;7°;C;18
40;2°;1º;19
40;3°;1º;16
40;4°;1º;21
40;5°;1º;25
40;6°;1º;17
40;7°;1º;16
41;2°;A;17
41;2°;B;17
41;3°;A;14
41;3°;B;16
41;4°; B;10
41;4°;A;13
41;5°;A;18
41;5°;B;16
41;6°;A;11
41;6°;B;10
41;7°;A;14
41;7°;B;15
42;2°;1º;13
42;3°;A;13
42;3°;B;11
42;4°;1º;22
42;5°;A;11
42;5°;B;10
42;6°;1º;20
42;7°;A;12
42;7°;B;12
43;2°;A;14
43;2°;B;12
43;3°;"""A""";20
43;4°;"""A""";17
43;4°;B;13
43;5°;A;13
43;5°;B;10
43;6°;"""u""";23
43;7°;A;21
44;2°;2° - 3°;9
44;3°;2° - 3°;7
44;4°;4° - 5°;3
44;5°;4° - 5°;9
44;6°;1º;15
44;7°;1º;13
45;2°;A;18
45;2°;B;18
45;3°;1º;29
45;4°;A;18
45;4°;B;16
45;5°;1º;30
45;6°;A;22
45;6°;B;20
45;7°;1º;24
46;2°;1º;25
46;3°;1º;14
46;4°;1º;19
46;5°;1º;22
46;6°;1º;25
46;7°;1º;24
47;2°;A;19
47;2°;B;18
47;3°;A;25
47;3°;B;19
47;4°;A;25
47;4°;B;17
47;5°;A;29
47;5°;B;21
47;6°;A;26
47;6°;B;22
47;7°;A;29
47;7°;B;20
48;2°;1º;16
48;3°;1º;13
48;4°;1º;13
48;5°;1º;14
48;6°;1º;16
48;7°;1º;15
49;2°;A;20
49;2°;B;17
49;3°;A;25
49;4°;A;28
49;5°;A;27
49;6°;A;31
49;7°;A;31
50;2°;1º;14
50;3°;1º;11
50;4°;1º;9
50;5°;1º;16
50;6°;1º;12
50;7°;1º;10
51;2°;A;28
51;2°;B;28
51;2°;C;26
51;3°;A;25
51;3°;B;25
51;3°;C;25
51;4°;A;28
51;4°;B;29
51;4°;C;27
51;5°;A;30
51;5°;B;31
51;5°;C;28
51;6°;A;28
51;6°;B;18
51;6°;C;30
51;7°;A;29
51;7°;B;30
51;7°;C;29
52;2°;A;29
52;2°;B;24
52;2°;C;24
52;3°;A;30
52;3°;B;28
52;3°;C;25
52;4°;A;31
52;4°;B;30
52;4°;C;31
52;5°;A;32
52;5°;B;24
52;5°;c;29
52;6°;A;27
52;6°;B;27
52;6°;C;31
52;7°;A;29
52;7°;B;28
52;7°;C;27
53;2°;A;28
53;2°;B;28
53;2°;C;31
53;3°;A;29
53;3°;B;25
53;3°;C;25
53;4°;A;32
53;4°;B;31
53;4°;C;32
53;5°;A;31
53;5°;B;29
53;5°;C;29
53;6°;A;28
53;6°;B;29
53;6°;C;30
53;7°;A ;32
53;7°;B;31
53;7°;C;31
54;2°;1º;16
54;3°;1º;18
54;4°;1º;22
54;5°;1º;15
54;6°;1º;20
54;7°;1º;22
55;2°;A;25
55;2°;B;22
55;3°;A;20
55;3°;B;22
55;4°;A;23
55;4°;B;21
55;5°;A;26
55;5°;B;25
55;6°;A;27
55;6°;B;22
55;7°;A;20
55;7°;B;26
56;2°;A;22
56;2°;B;24
56;3°;A;19
56;3°;B;20
56;4°;A;20
56;4°;B;18
56;5°;A;22
56;5°;B;20
56;6°;A;16
56;6°;B;21
56;7°;A;19
56;7°;B;17
57;2°;A;18
