Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
989;1°;1°;36
989;1°;2°;31
989;1°;3°;32
989;1°;4°;29
989;1°;5°;29
989;1°;6°;29
990;1°;1°;35
990;1°;2°;34
990;1°;3°;37
990;1°;4°;31
991;1°;1°;31
991;1°;2°;30
991;1°;3°;27
991;1°;4°;31
991;1°;5°;28
991;1°;6°;29
992;1°;1°;33
992;1°;2°;27
992;1°;3°;29
992;1°;4°;31
992;1°;5°;31
993;1°;1°;27
993;1°;2°;27
993;1°;3°;27
993;1°;4°;32
993;1°;5°;26
993;1°;6°;24
993;1°;7°;35
994;1°;1°;31
994;1°;2°;36
994;1°;3°;30
994;1°;4°;37
994;1°;5°;31
994;1°;6°;36
995;1°;1°;37
995;1°;2°;34
995;1°;3°;32
995;1°;4°;42
996;1°;1°;24
996;1°;2°;26
996;1°;3°;19
996;1°;4°;20
997;1°;1°;40
997;1°;2°;38
997;1°;3°;41
997;1°;4°;40
997;1°;5°;39
997;1°;6°;32
998;1°;1°;30
998;1°;2°;26
998;1°;3°;29
998;1°;4°;26
998;1°;5°;21
999;1°;1°;38
999;1°;2°;40
999;1°;3°;36
999;1°;4°;38
999;1°;5°;31
999;1°;6°;38
1000;1°;1°;31
1000;1°;2°;32
1000;1°;3°;28
1000;1°;4°;27
1000;1°;5°;30
1001;1°;1°;31
1001;1°;2°;29
1001;1°;3°;31
1001;1°;4°;26
1002;1°;1°;28
1002;1°;2°;24
1003;1°;1°;16
1003;1°;2°;21
1003;1°;3°;19
1003;1°;4°;12
1004;1°;1°;34
1004;1°;2°;31
1004;1°;3°;34
1004;1°;4°;35
1004;1°;5°;29
1004;1°;6°;33
1005;1°;1°;32
1005;1°;2°;42
1005;1°;3°;36
1006;1°;1°;35
1006;1°;2°;35
1006;1°;3°;32
1006;1°;4°;28
1006;1°;5°;31
1006;1°;6°;27
1007;1°;1°;34
1007;1°;2°;36
1007;1°;3°;27
1007;1°;4°;37
1007;1°;5°;28
1008;1°;1°;31
1008;1°;2°;29
1008;1°;3°;30
1008;1°;4°;31
1008;1°;5°;30
1009;1°;1°;23
1009;1°;2°;31
1010;1°;1°;23
1010;1°;2°;37
1010;1°;3°;23
1010;1°;4°;25
1010;1°;5°;25
1010;1°;6°;24
1011;1°;1°;37
1011;1°;2°;28
1011;1°;3°;30
1011;1°;4°;32
1012;1°;1°;28
1012;1°;2°;29
1012;1°;3°;28
1012;1°;4°;27
1013;1°;1°;31
1013;1°;2°;35
1013;1°;3°;33
1013;1°;4°;32
1014;1°;1°;27
1014;1°;2°;25
1014;1°;3°;29
1014;1°;4°;29
1014;1°;5°;20
1014;1°;6°;25
1015;1°;1°;28
1015;1°;2°;22
1015;1°;3°;24
1015;1°;4°;31
1016;1°;1°;31
1016;1°;2°;37
1016;1°;3°;34
1016;1°;4°;35
1016;1°;5°;34
1016;1°;6°;32
1017;1°;1°;27
1017;1°;2°;28
1017;1°;3°;29
1017;1°;4°;23
1018;1°;1°;37
1018;1°;2°;34
1018;1°;3°;36
1018;1°;4°;36
1019;1°;1°;24
1019;1°;2°;29
1019;1°;3°;32
1020;1°;1°;36
1020;1°;2°;38
1020;1°;3°;30
1020;1°;4°;33
1020;1°;5°;31
1021;1°;1°;37
1021;1°;2°;33
1021;1°;3°;37
1021;1°;4°;34
1021;1°;5°;34
1022;1°;1°;19
1022;1°;2°;20
