Supervisión;Curso ;matricula_por_supervisión_y_curso
06 - Secundario Técnico;1°;1492
06 - Secundario Técnico;2°;1252
06 - Secundario Técnico;3°;1085
06 - Secundario Técnico;4°;816
06 - Secundario Técnico;5°;718
06 - Secundario Técnico;6°;537
07 - Primario;2°;702
07 - Primario;3°;728
07 - Primario;4°;764
07 - Primario;5°;782
07 - Primario;6°;750
07 - Primario;7°;732
07 - Primario Privada;2°;865
07 - Primario Privada;3°;872
07 - Primario Privada;4°;900
07 - Primario Privada;5°;906
07 - Primario Privada;6°;881
07 - Primario Privada;7°;801
07 - Secundario Orientado;1°;1035
07 - Secundario Orientado;2°;975
07 - Secundario Orientado;3°;831
07 - Secundario Orientado;4°;739
07 - Secundario Orientado;5°;596
07 - Secundario Orientado Privada;1°;1076
07 - Secundario Orientado Privada;2°;1158
07 - Secundario Orientado Privada;3°;1098
07 - Secundario Orientado Privada;4°;961
07 - Secundario Orientado Privada;5°;929
08 - Primario;2°;473
08 - Primario;3°;487
08 - Primario;4°;516
08 - Primario;5°;592
08 - Primario;6°;536
08 - Primario;7°;521
08 - Primario Privada;2°;677
08 - Primario Privada;3°;730
08 - Primario Privada;4°;711
08 - Primario Privada;5°;753
08 - Primario Privada;6°;704
08 - Primario Privada;7°;688
08 - Secundario Orientado;1°;1079
08 - Secundario Orientado;2°;1004
08 - Secundario Orientado;3°;923
08 - Secundario Orientado;4°;823
08 - Secundario Orientado;5°;694
09 - Primario;2°;512
09 - Primario;3°;501
09 - Primario;4°;550
09 - Primario;5°;587
09 - Primario;6°;557
09 - Primario;7°;551
09 - Secundario Orientado;1°;959
09 - Secundario Orientado;2°;909
09 - Secundario Orientado;3°;824
09 - Secundario Orientado;4°;685
09 - Secundario Orientado;5°;608
10 - Primario;2°;695
10 - Primario;3°;661
10 - Primario;4°;764
10 - Primario;5°;793
10 - Primario;6°;725
10 - Primario;7°;724
10 - Secundario Orientado;1°;1024
10 - Secundario Orientado;2°;988
10 - Secundario Orientado;3°;908
10 - Secundario Orientado;4°;791
10 - Secundario Orientado;5°;700
11 - Primario;2°;600
11 - Primario;3°;604
11 - Primario;4°;630
11 - Primario;5°;718
11 - Primario;6°;657
11 - Primario;7°;650
11 - Secundario Orientado;1°;842
11 - Secundario Orientado;2°;676
11 - Secundario Orientado;3°;726
11 - Secundario Orientado;4°;529
11 - Secundario Orientado;5°;484
12 - Primario;1°;5
12 - Primario;2°;618
12 - Primario;3°;607
12 - Primario;4°;639
12 - Primario;5°;685
12 - Primario;6°;693
12 - Primario;7°;671
12 - Secundario Orientado;1°;134
12 - Secundario Orientado;2°;126
12 - Secundario Orientado;3°;136
12 - Secundario Orientado;4°;109
12 - Secundario Orientado;5°;100
13 - Primario;2°;832
13 - Primario;3°;874
13 - Primario;4°;904
13 - Primario;5°;992
13 - Primario;6°;914
13 - Primario;7°;950
13 - Secundario Orientado;1°;845
13 - Secundario Orientado;2°;805
13 - Secundario Orientado;3°;817
13 - Secundario Orientado;4°;810
13 - Secundario Orientado;5°;705
14 - Primario;2°;491
14 - Primario;3°;501
14 - Primario;4°;552
14 - Primario;5°;587
14 - Primario;6°;541
14 - Primario;7°;499
14 - Secundario Orientado;1°;519
14 - Secundario Orientado;2°;395
14 - Secundario Orientado;3°;367
14 - Secundario Orientado;4°;309
14 - Secundario Orientado;5°;259
15 - Primario;1°;4
15 - Primario;2°;391
15 - Primario;3°;420
15 - Primario;4°;423
15 - Primario;5°;463
15 - Primario;6°;424
15 - Primario;7°;427
15 - Secundario Orientado;1°;856
15 - Secundario Orientado;2°;706
15 - Secundario Orientado;3°;675
15 - Secundario Orientado;4°;549
15 - Secundario Orientado;5°;496
16 - Primario;2°;588
16 - Primario;3°;554
16 - Primario;4°;633
16 - Primario;5°;635
16 - Primario;6°;709
16 - Primario;7°;638
16 - Secundario Orientado;1°;654
16 - Secundario Orientado;2°;564
16 - Secundario Orientado;3°;511
16 - Secundario Orientado;4°;472
16 - Secundario Orientado;5°;404
17 - Primario;1°;4
17 - Primario;2°;563
17 - Primario;3°;541
17 - Primario;4°;541
17 - Primario;5°;610
17 - Primario;6°;589
17 - Primario;7°;554
17 - Secundario Orientado;1°;958
17 - Secundario Orientado;2°;927
17 - Secundario Orientado;3°;873
17 - Secundario Orientado;4°;724
17 - Secundario Orientado;5°;679
18 - Primario;1°;19
18 - Primario;2°;364
18 - Primario;3°;363
18 - Primario;4°;415
18 - Primario;5°;424
18 - Primario;6°;398
18 - Primario;7°;414
18 - Secundario Orientado;1°;967
18 - Secundario Orientado;2°;1028
18 - Secundario Orientado;3°;1030
18 - Secundario Orientado;4°;913
18 - Secundario Orientado;5°;871
19 - Primario;1°;17
19 - Primario;2°;408
19 - Primario;3°;374
19 - Primario;4°;451
19 - Primario;5°;459
19 - Primario;6°;394
19 - Primario;7°;376
20 - Primario;1°;7
20 - Primario;2°;320
20 - Primario;3°;309
20 - Primario;4°;328
20 - Primario;5°;358
20 - Primario;6°;371
20 - Primario;7°;307
21 - Primario;2°;469
21 - Primario;3°;440
21 - Primario;4°;483
21 - Primario;5°;525
21 - Primario;6°;484
21 - Primario;7°;430
22 - Primario;1°;11
22 - Primario;2°;367
22 - Primario;3°;354
22 - Primario;4°;420
22 - Primario;5°;413
22 - Primario;6°;402
22 - Primario;7°;385
23 - Primario;2°;614
23 - Primario;3°;655
23 - Primario;4°;676
23 - Primario;5°;720
23 - Primario;6°;615
