Escuela_ID;Número;Escuela;Nivel;Nivel_Unificado;Gestión;Supervisión;Departamento;Localidad;zona;AMBITO;Regional
4;1003;JUSTO JOSÉ DE URQUIZA;Primario;Primario;Pública;13 - Primario;MAIPÚ;MAIPÚ;10%;Urbano;CENTRO
5;1005;LEANDRO N. ALEM;Primario;Primario;Pública;09 - Primario;GUAYMALLÉN;SAN JOSÉ;10%;Urbano;NORTE
6;1006;JUAN JOSÉ PASO;Primario;Primario;Pública;16 - Primario;LUJÁN DE CUYO;MAYOR DRUMMOND;40%;Urbano;CENTRO
7;1014;DR. ALEJANDRO MATHUS;Primario;Primario;Pública;58 - Primario;GUAYMALLÉN;BERMEJO;60%;Urbano;NORTE
8;1016;PETRONA G.DE BURGOA;Primario;Primario;Pública;12 - Primario;GODOY CRUZ;LAS TORTUGAS;60%;Urbano marginal;CENTRO
9;1018;JUAN G. DE LAS HERAS;Primario;Primario;Pública;03 - Primario;LAS HERAS;LAS HERAS;10%;Urbano;NORTE
10;1022;VICENTE LÓPEZ Y PLANES;Primario;Primario;Pública;47 - Primario;TUNUYÁN;TUNUYÁN;40%;Urbano;CENTRO-SUR
11;1023;TERESA O'CONNOR;Primario;Primario;Pública;16 - Primario;LUJÁN DE CUYO;CHACRAS DE CORIA;10%;Urbano;CENTRO
12;1030;ISAAC MELCHOR CHAVARRIA;Primario;Primario;Pública;26 - Primario;RIVADAVIA;MEDRANO;80%;Rural;ESTE
13;1031;9 DE JULIO;Primario;Primario;Pública;19 - Primario;SAN CARLOS;CHILECITO;80%;Urbano marginal;CENTRO-SUR
14;1034;GENERAL MANUEL BELGRANO;Primario;Primario;Pública;01 - Primario;CAPITAL;1º SECCION - PARQUE CENTRAL;10%;Urbano;NORTE
15;1038;MARÍA BADIN DE BADIN;Primario;Primario;Pública;14 - Primario;MAIPÚ;SAN ROQUE;80%;Rural;CENTRO
16;1040;JUAN JOSÉ VIAMONTE;Primario;Primario;Pública;15 - Primario;MAIPÚ;TRES ESQUINAS;80%;Rural;CENTRO
17;1041;GRAL.JOSÉ A. GUTIÉRREZ;Primario;Primario;Pública;53 - Primario;MAIPÚ;GENERAL GUTIÉRREZ;80%;Urbano marginal;CENTRO
18;1043;MOISES LUCERO;Primario;Primario;Pública;40 - Primario;JUNIN;ALTO VERDE;110%;Rural;ESTE
19;1044;DOMINGO EVARISTO BOMBAL;Primario;Primario;Pública;33 - Primario;SAN RAFAEL;CUADRO NACIONAL;110%;Rural;SUR
20;1045;MAESTRA O. R. DE DI CHIARA;Primario;Primario;Pública;04 - Primario;LAS HERAS;EL ALGARROBAL;80%;Urbano marginal;NORTE
21;1046;ESCUADRON 28 DE GENDARMERIA;Primario;Primario;Pública;41 - Primario;SAN CARLOS;LA CONSULTA;110%;Rural;CENTRO-SUR
22;1047;BARTOLOMÉ MITRE;Primario;Primario;Pública;02 - Primario;CAPITAL;CIUDAD;10%;Urbano;NORTE
23;1049;JUANA S. DE PERALTA;Primario;Primario;Pública;15 - Primario;MAIPÚ;RODEO DEL MEDIO;80%;Rural marginal;CENTRO
24;1050;INDEPENDENCIA ARGENTINA;Primario;Primario;Pública;15 - Primario;MAIPÚ;CRUZ DE PIEDRA;80%;Rural;CENTRO
25;1051;MARÍA C. DE CAVAGNARO;Primario;Primario;Pública;53 - Primario;MAIPÚ;COQUIMBITO;80%;Rural;CENTRO
26;1052;FRANCISCO GABRIELLI;Primario;Primario;Pública;13 - Primario;MAIPÚ;LUZURIAGA;40%;Urbano;CENTRO
27;1056;MANUELA DOLORES OJEDA ;Primario;Primario;Pública;18 - Primario;TUNUYÁN;EL TOTORAL;80%;Rural marginal;CENTRO-SUR
28;1057;EUGENIO JARDEL;Primario;Primario;Pública;40 - Primario;JUNIN;MEDRANO;110%;Rural;ESTE
29;1061;CORONEL PEDRO JOSÉ DIAZ;Primario;Primario;Pública;18 - Primario;TUNUYÁN;VISTA FLORES;80%;Urbano;CENTRO-SUR
30;1064;RÍO NEGRO;Primario;Primario;Pública;19 - Primario;SAN CARLOS;PAREDITAS;80%;Rural marginal;CENTRO-SUR
31;1065;JUAN GALO LAVALLE;Primario;Primario;Pública;05 - Primario;LAVALLE;VILLA TULUMAYA (CIUDAD);60%;Urbano;NORTE
32;1066;JUAN BAUTISTA ALBERDI;Primario;Primario;Pública;20 - Primario;TUPUNGATO;EL PERAL;110%;Rural;CENTRO-SUR
33;1067;ROSA ISABEL TREBES DE TORRES;Primario;Primario;Pública;47 - Primario;TUNUYÁN;COLONIA LAS ROSAS;110%;Rural;CENTRO-SUR
34;1068;VENTURA SEGURA;Primario;Primario;Pública;25 - Primario;SANTA ROSA;LA DORMIDA;80%;Rural;ESTE
35;1069;JOSÉ MARÍA GUTIÉRREZ;Primario;Primario;Pública;06 - Primario;LAVALLE;COSTA DE ARAUJO;110%;Rural;NORTE
36;1070;CAPITAL FEDERAL;Primario;Primario;Pública;49 - Primario;GRAL. ALVEAR;GENERAL ALVEAR;40%;Urbano marginal;SUR
37;1073;VIRGEN DE LA CARRODILLA;Primario;Primario;Pública;39 - Primario;LUJÁN DE CUYO;VISTALBA;60%;Rural;CENTRO
38;1074;FRANCISCO N. DE LAPRIDA;Primario;Primario;Pública;54 - Primario;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;NORTE
39;1075;CORDILLERA DE LOS ANDES;Primario;Primario;Pública;11 - Primario;GODOY CRUZ;PTE. SARMIENTO;60%;Marginal;CENTRO
40;1077;PROVINCIA DE BUENOS AIRES;Primario;Primario;Pública;10 - Primario;GODOY CRUZ;LAS TORTUGAS;40%;Urbano marginal;CENTRO
41;1078;SANTIAGO DEL ESTERO;Primario;Primario;Pública;11 - Primario;GODOY CRUZ;GODOY CRUZ;60%;Urbano marginal;CENTRO
42;1079;ARGENTINOS URUGUAYOS;Primario;Primario;Pública;42 - Primario;SAN RAFAEL;VILLA ATUEL;80%;Urbano marginal;SUR
43;1080;JORGE LUIS BORGES;Primario;Primario;Pública;30 - Primario;SAN RAFAEL;SAN RAFAEL - CIUDAD;80%;Urbano marginal;SUR
44;1084;DEOCLECIO GARCÍA;Primario;Primario;Pública;33 - Primario;SAN RAFAEL;CUADRO NACIONAL;110%;Rural;SUR
45;1085;DAVID DIAZ GASCOGNE;Primario;Primario;Pública;39 - Primario;LUJÁN DE CUYO;LAS COMPUERTAS;80%;Rural;CENTRO
46;1087;ABDON ABRAHAM;Primario;Primario;Pública;04 - Primario;LAS HERAS;EL PASTAL;80%;Rural;NORTE
47;1089;LA SUPERIORA;Primario;Primario;Pública;15 - Primario;MAIPÚ;RUSELL;60%;Rural;CENTRO
48;1090;DR. MEDARDO ORTIZ;Primario;Primario;Pública;16 - Primario;LUJÁN DE CUYO;CARRODILLA;60%;Rural;CENTRO
49;1093;CERVANTES;Primario;Primario;Pública;05 - Primario;LAVALLE;JOCOLÍ VIEJO;80%;Rural marginal;NORTE
50;1094;JACINTO BOTANA;Primario;Primario;Pública;42 - Primario;SAN RAFAEL;LAS MALVINAS;110%;Rural;SUR
51;1095;JUAN CRISOSTOMO LAFINUR;Primario;Primario;Pública;14 - Primario;MAIPÚ;FRAY LUIS BELTRÁN;80%;Urbano;CENTRO
52;1096;JOHN F. KENNEDY;Primario;Primario;Pública;53 - Primario;MAIPÚ;RODEO DEL MEDIO;60%;Urbano;CENTRO
53;1097;ALMAFUERTE;Primario;Primario;Pública;07 - Primario;GUAYMALLÉN;VILLA NUEVA;10%;Urbano;NORTE
54;1098;CARMEN PONCE DE VIDELA;Primario;Primario;Pública;54 - Primario;CAPITAL;6º SECCION - RESIDENCIAL NORTE;60%;Urbano marginal;NORTE
55;1099;VICENTE GIL;Primario;Primario;Pública;20 - Primario;TUPUNGATO;SAN JOSÉ;80%;Rural;CENTRO-SUR
56;1101;CMTE.JOSÉ ANTONIO SALAS;Primario;Primario;Pública;55 - Primario;SAN RAFAEL;CUADRO NACIONAL;80%;Urbano marginal;SUR
57;1102;ENTRE RÍOS;Primario;Primario;Pública;35 - Primario;GRAL. ALVEAR;COLONIA ALVEAR OESTE;80%;Urbano marginal;SUR
58;1104;LEOPOLDO LUGONES;Primario;Primario;Pública;58 - Primario;GUAYMALLÉN;COLONIA SEGOVIA;80%;Rural;NORTE
59;1105;LINDOR CASTILLO;Primario;Primario;Pública;56 - Primario;TUPUNGATO;LA ARBOLEDA;110%;Rural;CENTRO-SUR
60;1106;DR. JUAN AGUSTÍN MAZA;Primario;Primario;Pública;01 - Primario;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano marginal;NORTE
61;1107;GENOVEVA VILLANUEVA;Primario;Primario;Pública;26 - Primario;RIVADAVIA;REDUCCIÓN DEL MEDIO;110%;Rural;ESTE
62;1108;DR. JULIO LEMOS;Primario;Primario;Pública;12 - Primario;GODOY CRUZ;VILLA HIPODROMO;10%;Urbano;CENTRO
63;1110;MANUEL LAINEZ;Primario;Primario;Pública;54 - Primario;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;NORTE
64;1111;LINO HUDSON;Primario;Primario;Pública;46 - Primario;SAN MARTÍN;CHAPANAY;110%;Rural;ESTE
65;1112;CHACABUCO;Primario;Primario;Pública;45 - Primario;GUAYMALLÉN;KM 11;40%;Urbano marginal;NORTE
66;1113;JOSÉ A.BOLAÑOS;Primario;Primario;Pública;46 - Primario;SAN MARTÍN;SAN MARTÍN;40%;Urbano marginal;ESTE
66;1113;JOSÉ A.BOLAÑOS;Primario;Primario;Pública;46 - Primario;SAN MARTÍN;SAN MARTÍN;40%;Urbano marginal;ESTE
67;1114;FRANCISCO E.CALLE;Primario;Primario;Pública;15 - Primario;MAIPÚ;FRAY LUIS BELTRÁN;80%;Rural;CENTRO
68;1115;REPÚBLICA ARGENTINA;Primario;Primario;Pública;47 - Primario;TUNUYÁN;LOS SAUCES;110%;Rural;CENTRO-SUR
69;1116;DR. TOMÁS GODOY CRUZ;Primario;Primario;Pública;11 - Primario;GODOY CRUZ;GODOY CRUZ;60%;Urbano;CENTRO
70;1119;EJÉRCITO DE LOS ANDES;Primario;Primario;Pública;47 - Primario;TUNUYÁN;VILLA SECA;110%;Rural;CENTRO-SUR
71;1120;JOSE RUDECINDO PONCE;Primario;Primario;Pública;08 - Primario;GUAYMALLÉN;SAN JOSÉ;10%;Urbano;NORTE
72;1121;CABILDO ABIERTO;Primario;Primario;Pública;15 - Primario;MAIPÚ;LUNLUNTA;80%;Rural;CENTRO
73;1122;BENJAMÍN MATIENZO;Primario;Primario;Pública;04 - Primario;LAS HERAS;EL ZAPALLAR;40%;Urbano marginal;NORTE
